Gene	Essential	Non-essential	Unclear
adk	TRUE	FALSE	FALSE
hemH	TRUE	FALSE	FALSE
aes	FALSE	TRUE	FALSE
gsk	FALSE	TRUE	FALSE
ybaL	FALSE	TRUE	FALSE
fsr	FALSE	TRUE	FALSE
ushA	FALSE	TRUE	FALSE
ybaK	FALSE	TRUE	FALSE
ybaP	FALSE	TRUE	FALSE
ybaQ	FALSE	TRUE	FALSE
copA	FALSE	TRUE	FALSE
glsA	FALSE	TRUE	FALSE
ybaT	FALSE	TRUE	FALSE
cueR	FALSE	TRUE	FALSE
ybbJ	FALSE	TRUE	FALSE
qmcA	FALSE	TRUE	FALSE
fetA	FALSE	TRUE	FALSE
fetB	FALSE	TRUE	FALSE
ybbN	FALSE	TRUE	FALSE
ybbO	FALSE	TRUE	FALSE
tesA	FALSE	TRUE	FALSE
ybbA	FALSE	TRUE	FALSE
ybbP	FALSE	TRUE	FALSE
rhsD	FALSE	TRUE	FALSE
ybbC	FALSE	TRUE	FALSE
rhsH	FALSE	TRUE	FALSE
ybbD	FALSE	TRUE	FALSE
ylbI	FALSE	TRUE	FALSE
ylbG	FALSE	TRUE	FALSE
mnmH	FALSE	TRUE	FALSE
allS	FALSE	TRUE	FALSE
allA	FALSE	TRUE	FALSE
allR	FALSE	TRUE	FALSE
gcl	FALSE	TRUE	FALSE
hyi	FALSE	TRUE	FALSE
glxR	FALSE	TRUE	FALSE
ybbW	FALSE	TRUE	FALSE
allB	FALSE	TRUE	FALSE
ybbY	FALSE	TRUE	FALSE
glxK	FALSE	TRUE	FALSE
allE	FALSE	TRUE	FALSE
allC	FALSE	TRUE	FALSE
allD	FALSE	TRUE	FALSE
fdrA	FALSE	TRUE	FALSE
ylbE	FALSE	TRUE	FALSE
ylbF	FALSE	TRUE	FALSE
ybcF	FALSE	TRUE	FALSE
purK	FALSE	TRUE	FALSE
purE	FALSE	TRUE	FALSE
lpxH	TRUE	FALSE	FALSE
ppiB	FALSE	FALSE	TRUE
cysS	TRUE	FALSE	FALSE
ybcI	FALSE	TRUE	FALSE
ybcJ	FALSE	TRUE	FALSE
folD	TRUE	FALSE	FALSE
sfmA	FALSE	TRUE	FALSE
sfmC	FALSE	TRUE	FALSE
sfmD	FALSE	TRUE	FALSE
sfmH	FALSE	TRUE	FALSE
sfmF	FALSE	TRUE	FALSE
sfmZ	FALSE	TRUE	FALSE
intD	FALSE	TRUE	FALSE
xisD	FALSE	TRUE	FALSE
exoD	FALSE	TRUE	FALSE
peaD	FALSE	TRUE	FALSE
renD	FALSE	TRUE	FALSE
insE1	FALSE	TRUE	FALSE
insF1	FALSE	TRUE	FALSE
emrE	FALSE	TRUE	FALSE
ybcK	FALSE	TRUE	FALSE
ybcL	FALSE	TRUE	FALSE
ybcM	FALSE	TRUE	FALSE
ylcH	FALSE	TRUE	FALSE
ybcN	FALSE	TRUE	FALSE
ninE	FALSE	TRUE	FALSE
ybcO	FALSE	TRUE	FALSE
rusA	FALSE	TRUE	FALSE
ylcG	FALSE	TRUE	FALSE
quuD	FALSE	TRUE	FALSE
nmpC	FALSE	TRUE	FALSE
insH1	FALSE	TRUE	FALSE
essD	FALSE	TRUE	FALSE
rrrD	FALSE	TRUE	FALSE
rzpD	FALSE	TRUE	FALSE
rzoD	FALSE	TRUE	FALSE
borD	FALSE	TRUE	FALSE
ybcV	FALSE	TRUE	FALSE
ybcW	FALSE	TRUE	FALSE
ylcI	FALSE	TRUE	FALSE
